               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037034,            0.056289,           0.0055367,             0.76744,             0.67502,              0.7109,             0.40662,            0.039648,            0.055197,           0.0074236,           0.0082675,           0.0082675,           0.0082675
                  37,            0.037081,             0.05783,           0.0048672,              0.8213,             0.68279,             0.70961,             0.39009,            0.041418,            0.057815,           0.0076644,            0.008218,            0.008218,            0.008218
                  38,             0.03824,            0.057866,           0.0045027,              0.7926,             0.66912,             0.72462,             0.40284,            0.041108,            0.055555,           0.0072989,           0.0081685,           0.0081685,           0.0081685
                  39,            0.037379,            0.059992,           0.0045717,             0.71709,             0.68056,             0.69369,             0.37151,            0.041603,            0.057083,           0.0075444,            0.008119,            0.008119,            0.008119
                  40,            0.035904,            0.054862,           0.0045991,              0.7136,             0.65966,             0.67685,             0.36594,            0.041933,            0.059791,           0.0084172,           0.0080695,           0.0080695,           0.0080695
                  41,            0.035924,            0.054624,           0.0044662,             0.75438,             0.68211,             0.71838,             0.39725,            0.039857,              0.0575,           0.0079244,             0.00802,             0.00802,             0.00802
                  42,            0.035738,            0.054044,           0.0045005,             0.81013,             0.63524,             0.71481,             0.38744,            0.039845,            0.056548,           0.0067201,           0.0079705,           0.0079705,           0.0079705
                  43,            0.035576,            0.056565,           0.0042538,             0.73495,              0.7173,             0.72564,               0.394,            0.039351,            0.056793,           0.0068161,            0.007921,            0.007921,            0.007921
                  44,             0.03624,            0.054447,           0.0041395,             0.78135,             0.68407,             0.73569,             0.39167,            0.041028,            0.055972,           0.0064284,           0.0078715,           0.0078715,           0.0078715
                  45,            0.036284,            0.054327,           0.0038972,             0.79176,              0.6454,              0.7154,             0.39432,            0.039432,             0.05699,           0.0074852,            0.007822,            0.007822,            0.007822
                  46,            0.035981,             0.05881,           0.0037607,             0.76698,             0.69339,             0.73147,             0.40276,            0.040632,            0.056345,           0.0070085,           0.0077725,           0.0077725,           0.0077725
                  47,            0.035159,            0.058056,           0.0035974,             0.75073,              0.7011,             0.70679,             0.38216,              0.0412,            0.059753,           0.0085062,            0.007723,            0.007723,            0.007723
                  48,            0.035659,            0.055378,           0.0034602,             0.77202,             0.73123,              0.7387,             0.40612,            0.040785,            0.058008,           0.0080953,           0.0076735,           0.0076735,           0.0076735
                  49,            0.035934,            0.052219,             0.00346,             0.74344,             0.69514,              0.7209,             0.40848,             0.04034,            0.056536,           0.0079136,            0.007624,            0.007624,            0.007624
                  50,            0.034717,            0.055529,           0.0034339,              0.7428,             0.71217,             0.73326,             0.40079,            0.039342,            0.057079,            0.007502,           0.0075745,           0.0075745,           0.0075745
                  51,            0.035454,            0.053456,           0.0034749,             0.80594,             0.69545,             0.74415,             0.41961,            0.040492,            0.058048,            0.007281,            0.007525,            0.007525,            0.007525
                  52,            0.035002,            0.054189,           0.0034745,             0.79621,             0.71908,             0.75441,              0.4162,            0.040834,            0.056586,           0.0060472,           0.0074755,           0.0074755,           0.0074755
                  53,            0.034605,            0.052361,            0.003106,             0.75858,             0.70842,             0.73686,             0.41228,            0.040473,            0.055413,           0.0062171,            0.007426,            0.007426,            0.007426
                  54,            0.034605,            0.050805,            0.003515,             0.82361,             0.69296,             0.73386,              0.4106,            0.040469,             0.05754,           0.0061866,           0.0073765,           0.0073765,           0.0073765
                  55,            0.034321,            0.057312,           0.0032622,             0.75419,             0.73631,             0.75793,             0.42087,            0.040142,            0.055577,           0.0056076,            0.007327,            0.007327,            0.007327
                  56,            0.035218,            0.052683,           0.0031328,             0.81629,              0.7265,             0.75914,             0.43277,            0.039533,            0.058026,           0.0055874,           0.0072775,           0.0072775,           0.0072775
                  57,            0.034781,            0.052906,           0.0031363,             0.79347,             0.69637,             0.73046,             0.39665,            0.040895,              0.0575,           0.0061989,            0.007228,            0.007228,            0.007228
                  58,            0.034012,            0.053295,           0.0029493,             0.83363,              0.6955,             0.74497,             0.41742,              0.0392,            0.057067,           0.0064007,           0.0071785,           0.0071785,           0.0071785
                  59,            0.033788,             0.05008,           0.0027874,             0.79273,             0.72625,             0.74611,             0.41417,            0.039996,            0.058193,           0.0065162,            0.007129,            0.007129,            0.007129
                  60,            0.034004,            0.049507,           0.0028442,             0.80358,             0.71407,             0.73521,                 0.4,            0.039669,             0.05939,           0.0068598,           0.0070795,           0.0070795,           0.0070795
                  61,            0.032443,            0.054874,           0.0027579,             0.76346,             0.73959,              0.7485,             0.41933,            0.039296,            0.059185,           0.0062675,             0.00703,             0.00703,             0.00703
                  62,            0.032175,            0.053539,           0.0027439,             0.81372,              0.7228,             0.76042,             0.44171,            0.038567,            0.058101,           0.0059372,           0.0069805,           0.0069805,           0.0069805
                  63,            0.032914,            0.051182,           0.0025943,             0.82095,             0.69017,             0.73885,             0.41574,            0.039978,            0.059705,           0.0060767,            0.006931,            0.006931,            0.006931
                  64,            0.032808,            0.051191,           0.0026962,             0.81542,             0.68268,             0.75622,             0.43341,            0.038985,              0.0573,           0.0060217,           0.0068815,           0.0068815,           0.0068815
                  65,            0.032552,            0.049611,           0.0026264,             0.82127,              0.6865,             0.74488,             0.42687,            0.039696,            0.058672,           0.0069384,            0.006832,            0.006832,            0.006832
                  66,            0.033281,            0.052316,           0.0025607,             0.77139,              0.6713,             0.72294,             0.40775,            0.039516,             0.06043,           0.0067552,           0.0067825,           0.0067825,           0.0067825
                  67,            0.033114,            0.049634,           0.0025518,             0.80045,              0.6986,             0.73259,             0.41057,            0.039653,            0.059008,           0.0066288,            0.006733,            0.006733,            0.006733
                  68,            0.032993,            0.051371,           0.0025053,             0.79991,             0.71346,             0.74795,             0.42417,            0.038619,            0.057662,             0.00655,           0.0066835,           0.0066835,           0.0066835
                  69,            0.031367,            0.050357,           0.0026296,             0.78369,             0.73709,             0.74691,             0.41604,             0.03927,            0.058673,           0.0071642,            0.006634,            0.006634,            0.006634
                  70,            0.031651,            0.048685,           0.0025707,             0.78969,             0.70441,             0.75172,             0.41866,             0.03941,            0.058107,           0.0061789,           0.0065845,           0.0065845,           0.0065845
                  71,            0.030765,            0.047991,           0.0023943,             0.79518,             0.73864,             0.76183,             0.42241,            0.039748,            0.058594,           0.0058761,            0.006535,            0.006535,            0.006535
                  72,            0.031785,            0.050253,           0.0024793,             0.80522,             0.75035,             0.76718,             0.44305,            0.037863,            0.057887,           0.0053928,           0.0064855,           0.0064855,           0.0064855
                  73,             0.03108,            0.048092,           0.0024213,             0.81388,             0.73196,             0.75192,             0.41382,            0.040117,            0.058604,            0.005653,            0.006436,            0.006436,            0.006436
                  74,            0.032047,            0.048349,           0.0023117,             0.82077,             0.70571,              0.7534,             0.42801,            0.038818,            0.058917,           0.0059083,           0.0063865,           0.0063865,           0.0063865
                  75,            0.031447,            0.048007,           0.0024013,             0.79541,             0.71205,             0.73728,              0.4271,            0.039724,            0.057804,            0.005865,            0.006337,            0.006337,            0.006337
                  76,             0.03174,            0.049448,           0.0023593,             0.81186,             0.71602,             0.75176,             0.42807,            0.038564,            0.059117,           0.0060632,           0.0062875,           0.0062875,           0.0062875
                  77,             0.03135,            0.049289,           0.0020097,             0.77725,             0.71291,             0.75384,             0.43441,            0.038968,             0.06017,           0.0056578,            0.006238,            0.006238,            0.006238
                  78,            0.030528,            0.047407,           0.0023361,             0.77818,             0.74113,             0.75718,             0.44038,             0.03859,            0.060031,           0.0057353,           0.0061885,           0.0061885,           0.0061885
                  79,            0.032261,            0.046209,           0.0023202,             0.82142,             0.68311,             0.74431,             0.42493,            0.038951,            0.061665,           0.0060379,            0.006139,            0.006139,            0.006139
                  80,            0.030411,            0.046001,           0.0022559,             0.81014,             0.72554,             0.75349,             0.42946,            0.038809,             0.06033,           0.0055535,           0.0060895,           0.0060895,           0.0060895
                  81,            0.030998,             0.04766,           0.0020477,             0.78708,             0.73478,              0.7471,             0.44083,            0.038596,            0.061478,           0.0056241,             0.00604,             0.00604,             0.00604
                  82,            0.029961,            0.048821,           0.0019502,             0.85675,             0.72056,             0.77436,             0.45491,            0.037804,            0.059835,           0.0057608,           0.0059905,           0.0059905,           0.0059905
                  83,            0.029997,            0.047148,           0.0021452,             0.81412,             0.73443,             0.77456,             0.44765,            0.038084,            0.058856,           0.0058641,            0.005941,            0.005941,            0.005941
                  84,            0.030793,            0.043454,           0.0020289,             0.82048,             0.72942,             0.76749,             0.44416,            0.037765,            0.058804,           0.0065258,           0.0058915,           0.0058915,           0.0058915
                  85,            0.030388,            0.046451,           0.0023252,             0.80313,             0.72364,             0.76524,             0.44061,            0.038955,            0.058079,            0.006672,            0.005842,            0.005842,            0.005842
                  86,            0.030649,             0.05004,           0.0021779,             0.82737,             0.68092,             0.76464,             0.44954,            0.037863,            0.058693,           0.0062949,           0.0057925,           0.0057925,           0.0057925
                  87,            0.029324,            0.047594,           0.0020031,             0.78513,             0.72195,             0.75362,             0.43466,            0.038744,             0.05998,            0.005923,            0.005743,            0.005743,            0.005743
                  88,            0.029088,            0.050527,           0.0019268,             0.84367,             0.70407,             0.77197,             0.44767,            0.038549,            0.058805,           0.0059754,           0.0056935,           0.0056935,           0.0056935
                  89,            0.029414,            0.049628,           0.0018556,             0.78305,             0.74321,             0.75947,             0.44283,            0.038552,            0.058992,            0.005746,            0.005644,            0.005644,            0.005644
                  90,            0.029234,            0.045734,           0.0021209,             0.80843,             0.69969,             0.75035,             0.43333,            0.038986,            0.060323,           0.0055088,           0.0055945,           0.0055945,           0.0055945
                  91,            0.029045,            0.045513,           0.0017605,             0.83608,             0.68658,              0.7447,              0.4364,            0.038278,            0.059066,           0.0054913,            0.005545,            0.005545,            0.005545
                  92,            0.029497,            0.045065,           0.0018256,             0.78589,              0.7142,             0.75484,             0.43805,            0.038846,            0.057689,           0.0057418,           0.0054955,           0.0054955,           0.0054955
                  93,            0.029169,            0.047159,            0.001789,             0.79015,             0.71902,              0.7483,             0.43501,            0.038741,            0.058646,           0.0060629,            0.005446,            0.005446,            0.005446
                  94,            0.029148,              0.0478,           0.0018725,             0.79946,              0.7116,             0.73795,             0.43641,            0.039281,            0.060531,           0.0061629,           0.0053965,           0.0053965,           0.0053965
                  95,            0.029363,            0.045617,           0.0018132,             0.79158,             0.68932,             0.72054,             0.42978,            0.038868,            0.062926,           0.0064541,            0.005347,            0.005347,            0.005347
                  96,            0.028537,            0.043664,           0.0020758,             0.78353,             0.69027,             0.71591,             0.42309,            0.040069,            0.062891,           0.0065359,           0.0052975,           0.0052975,           0.0052975
                  97,            0.028928,            0.047005,           0.0019353,             0.82443,              0.6973,             0.74116,             0.43782,            0.038894,            0.060013,           0.0062083,            0.005248,            0.005248,            0.005248
                  98,            0.029191,            0.046424,           0.0017525,             0.76949,             0.71894,             0.73986,             0.43139,            0.040179,            0.060964,           0.0059285,           0.0051985,           0.0051985,           0.0051985
                  99,            0.027959,            0.042894,           0.0019124,             0.80988,             0.71924,             0.74841,             0.43882,            0.038927,            0.060308,            0.005883,            0.005149,            0.005149,            0.005149
                 100,            0.027736,            0.046525,           0.0017503,             0.76164,             0.75528,              0.7641,             0.44471,            0.038783,            0.059448,           0.0056652,           0.0050995,           0.0050995,           0.0050995
                 101,            0.028042,            0.043972,           0.0017308,             0.77337,             0.74043,             0.75628,             0.44596,            0.038123,            0.059899,           0.0064494,             0.00505,             0.00505,             0.00505
                 102,            0.028272,            0.044398,           0.0017658,              0.8104,             0.68493,              0.7392,             0.42559,            0.038889,             0.06047,           0.0061921,           0.0050005,           0.0050005,           0.0050005
                 103,            0.028402,            0.046389,           0.0016555,             0.78661,             0.71515,             0.73912,             0.42261,            0.038478,            0.062507,           0.0063952,            0.004951,            0.004951,            0.004951
                 104,            0.027863,            0.043893,           0.0016675,             0.83184,             0.69083,             0.74227,             0.43311,            0.039289,            0.063586,           0.0056847,           0.0049015,           0.0049015,           0.0049015
                 105,            0.028626,            0.046285,           0.0018143,             0.80801,             0.71125,             0.74753,              0.4451,            0.038161,            0.060854,           0.0054818,            0.004852,            0.004852,            0.004852
                 106,            0.027601,            0.044933,           0.0016688,             0.80435,               0.701,             0.74912,             0.44464,            0.038333,            0.061495,           0.0057127,           0.0048025,           0.0048025,           0.0048025
                 107,             0.02683,            0.044674,            0.001643,             0.79607,             0.72734,             0.74571,             0.43122,            0.037808,            0.060154,           0.0057989,            0.004753,            0.004753,            0.004753
                 108,            0.027822,            0.045717,           0.0016413,             0.78081,             0.72831,              0.7504,             0.43201,            0.038986,            0.060951,            0.006378,           0.0047035,           0.0047035,           0.0047035
                 109,            0.027276,             0.04282,           0.0014303,             0.81685,             0.69749,             0.75289,             0.43624,            0.039081,            0.059763,           0.0059971,            0.004654,            0.004654,            0.004654
                 110,            0.026661,            0.046681,           0.0017663,             0.80405,             0.72028,             0.75068,             0.43885,            0.038256,            0.061724,           0.0060812,           0.0046045,           0.0046045,           0.0046045
                 111,             0.02711,             0.04431,           0.0016203,             0.82918,             0.70378,             0.75288,             0.43586,            0.038889,            0.060729,           0.0053371,            0.004555,            0.004555,            0.004555
                 112,            0.026804,            0.041823,           0.0015189,              0.8045,             0.72594,             0.75218,             0.43004,            0.038478,            0.062537,           0.0056128,           0.0045055,           0.0045055,           0.0045055
                 113,            0.026772,            0.043144,           0.0015011,             0.76639,             0.71153,             0.74037,             0.43173,            0.038911,            0.061969,            0.005687,            0.004456,            0.004456,            0.004456
                 114,            0.027037,            0.044644,           0.0014194,             0.84141,             0.68551,             0.76058,             0.45746,            0.037977,            0.061727,           0.0056203,           0.0044065,           0.0044065,           0.0044065
                 115,            0.026503,            0.044534,           0.0015448,             0.81655,             0.69609,             0.75588,             0.44729,            0.038508,            0.063561,           0.0057263,            0.004357,            0.004357,            0.004357
                 116,            0.026629,            0.042974,           0.0015319,             0.79865,             0.71095,             0.75795,             0.44962,             0.03793,            0.062421,           0.0055403,           0.0043075,           0.0043075,           0.0043075
                 117,            0.026641,            0.042774,           0.0014292,             0.84004,             0.68147,             0.76409,             0.45669,            0.038187,             0.06246,           0.0057573,            0.004258,            0.004258,            0.004258
                 118,            0.026306,            0.041826,            0.001491,             0.78778,             0.75394,             0.76726,              0.4436,            0.038353,            0.060739,           0.0054115,           0.0042085,           0.0042085,           0.0042085
                 119,            0.025917,            0.043549,           0.0014874,              0.7951,             0.73844,             0.76314,             0.44472,            0.038041,            0.061353,           0.0055452,            0.004159,            0.004159,            0.004159
                 120,            0.026092,            0.043531,           0.0015733,             0.78184,             0.73161,             0.75995,             0.43713,            0.038347,            0.062782,           0.0058825,           0.0041095,           0.0041095,           0.0041095
                 121,            0.025597,             0.04147,           0.0018075,             0.79917,             0.71792,              0.7401,             0.44069,            0.038297,            0.062859,           0.0057052,             0.00406,             0.00406,             0.00406
                 122,            0.025504,            0.041291,           0.0014746,             0.80238,             0.73691,               0.762,             0.44489,            0.038018,            0.061005,           0.0056068,           0.0040105,           0.0040105,           0.0040105
                 123,            0.025683,            0.043252,            0.001578,             0.77999,             0.73098,             0.76096,             0.44795,            0.038484,            0.061238,           0.0052394,            0.003961,            0.003961,            0.003961
                 124,            0.025301,            0.042545,           0.0013963,             0.77935,             0.75863,             0.77086,             0.44905,            0.038622,            0.060609,           0.0048781,           0.0039115,           0.0039115,           0.0039115
                 125,            0.026252,            0.043227,           0.0017288,             0.78541,             0.71463,             0.77181,             0.44536,            0.038541,            0.060509,           0.0050302,            0.003862,            0.003862,            0.003862
                 126,            0.025975,            0.043151,           0.0013098,             0.75615,             0.78338,             0.77215,             0.45115,            0.038681,            0.060664,           0.0055085,           0.0038125,           0.0038125,           0.0038125
                 127,            0.025608,            0.040677,           0.0012897,             0.77449,             0.74062,               0.764,             0.44189,            0.038844,             0.06113,           0.0053998,            0.003763,            0.003763,            0.003763
                 128,            0.025932,            0.039886,           0.0012901,             0.76528,             0.72294,             0.73341,             0.43195,            0.038498,            0.065847,           0.0060091,           0.0037135,           0.0037135,           0.0037135
                 129,            0.026281,            0.043526,           0.0013404,             0.77072,              0.7346,             0.75473,             0.44923,            0.038173,            0.064092,           0.0059623,            0.003664,            0.003664,            0.003664
                 130,             0.02534,             0.04341,           0.0014116,             0.82854,             0.70268,              0.7604,             0.44842,            0.038483,            0.062494,           0.0057156,           0.0036145,           0.0036145,           0.0036145
                 131,            0.025153,            0.043223,           0.0014485,             0.78181,             0.74708,             0.76037,             0.45168,            0.038568,             0.06354,           0.0057433,            0.003565,            0.003565,            0.003565
                 132,            0.024892,            0.042568,           0.0012709,             0.75197,             0.76795,             0.76953,             0.45792,            0.038097,            0.062386,           0.0054616,           0.0035155,           0.0035155,           0.0035155
                 133,            0.024404,            0.042127,           0.0012869,             0.80822,             0.70084,             0.75935,             0.44757,             0.03886,            0.064272,            0.005253,            0.003466,            0.003466,            0.003466
                 134,            0.024569,            0.041856,            0.001366,             0.80929,             0.71208,             0.76305,             0.45435,            0.038451,            0.063578,            0.005292,           0.0034165,           0.0034165,           0.0034165
                 135,            0.024296,            0.043476,           0.0011309,             0.80568,             0.71243,              0.7588,             0.44439,            0.038788,             0.06413,           0.0051184,            0.003367,            0.003367,            0.003367
                 136,            0.024512,            0.042873,           0.0011346,             0.81693,              0.7236,             0.75572,             0.44457,            0.038732,            0.064968,           0.0050407,           0.0033175,           0.0033175,           0.0033175
