               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 160,             0.02304,             0.03582,            0.001051,             0.82165,             0.71376,             0.76561,             0.46136,            0.038284,            0.066716,           0.0056104,           0.0021295,           0.0021295,           0.0021295
                 161,            0.022252,            0.039351,          0.00078395,             0.82261,             0.73169,             0.77511,             0.46906,            0.037789,            0.064679,           0.0053966,             0.00208,             0.00208,             0.00208
                 162,            0.022484,            0.039819,          0.00099601,             0.79326,             0.74826,             0.77059,             0.46644,            0.038045,            0.064073,           0.0054552,           0.0020305,           0.0020305,           0.0020305
                 163,            0.021974,            0.037802,          0.00096733,             0.84623,             0.68464,             0.76217,             0.46672,            0.038364,            0.065967,           0.0058609,            0.001981,            0.001981,            0.001981
                 164,            0.022354,            0.040699,          0.00080868,             0.79186,             0.73677,             0.76827,             0.45837,            0.038613,            0.065149,           0.0055759,           0.0019315,           0.0019315,           0.0019315
                 165,            0.022071,            0.038433,          0.00093893,             0.80196,             0.73283,             0.77126,             0.45328,             0.03872,            0.065715,           0.0054542,            0.001882,            0.001882,            0.001882
                 166,            0.022393,            0.038918,           0.0011631,             0.75201,             0.76927,             0.76928,              0.4564,            0.038242,            0.065746,            0.005287,           0.0018325,           0.0018325,           0.0018325
                 167,             0.02108,            0.037636,          0.00098271,             0.82329,             0.69768,             0.76623,             0.45368,            0.038076,            0.065972,           0.0054879,            0.001783,            0.001783,            0.001783
                 168,            0.022162,            0.039898,           0.0010253,             0.80533,             0.71415,             0.76036,             0.45581,             0.03816,            0.065902,           0.0056243,           0.0017335,           0.0017335,           0.0017335
                 169,            0.021932,             0.03818,          0.00090931,             0.80036,             0.73703,             0.76263,             0.45936,            0.038072,            0.065175,           0.0053117,            0.001684,            0.001684,            0.001684
                 170,            0.021797,            0.037201,          0.00096582,             0.84135,             0.72117,             0.76299,             0.45605,            0.037995,            0.065853,           0.0053579,           0.0016345,           0.0016345,           0.0016345
                 171,            0.021131,            0.040814,          0.00075093,             0.85125,             0.70826,             0.76517,             0.46096,            0.038025,            0.067048,           0.0055851,            0.001585,            0.001585,            0.001585
                 172,             0.02057,            0.036389,          0.00092734,             0.84611,             0.70317,             0.76037,             0.45411,             0.03821,            0.067977,           0.0052862,           0.0015355,           0.0015355,           0.0015355
                 173,            0.021153,            0.036981,          0.00084947,             0.84773,             0.70877,             0.76254,             0.45789,            0.038004,             0.06733,           0.0054739,            0.001486,            0.001486,            0.001486
                 174,            0.021709,            0.037392,          0.00087437,             0.79128,             0.75136,             0.76926,             0.45897,            0.037882,            0.066713,           0.0054161,           0.0014365,           0.0014365,           0.0014365
                 175,            0.021372,            0.040225,          0.00095389,             0.82261,             0.73911,             0.77195,             0.45967,            0.037893,            0.065833,           0.0056328,            0.001387,            0.001387,            0.001387
                 176,            0.021097,            0.036529,          0.00087006,             0.80188,             0.75489,             0.77339,             0.46214,             0.03774,            0.065585,           0.0055935,           0.0013375,           0.0013375,           0.0013375
                 177,            0.021403,            0.038398,           0.0010507,             0.81071,             0.74228,             0.76754,             0.46057,            0.037882,            0.065741,           0.0057016,            0.001288,            0.001288,            0.001288
                 178,            0.021004,             0.03791,          0.00083291,             0.79963,             0.73846,             0.76591,             0.46425,            0.038011,            0.065969,           0.0059345,           0.0012385,           0.0012385,           0.0012385
                 179,            0.020258,            0.035468,          0.00073925,              0.8208,             0.70812,             0.75925,             0.46184,            0.038196,            0.066636,           0.0058985,            0.001189,            0.001189,            0.001189
                 180,            0.021134,            0.036572,          0.00087868,             0.81525,             0.71469,             0.76162,              0.4629,            0.038308,            0.067153,           0.0058049,           0.0011395,           0.0011395,           0.0011395
                 181,            0.021169,            0.037716,           0.0008911,             0.85648,             0.69035,             0.76517,             0.45871,            0.038202,            0.067493,           0.0056608,             0.00109,             0.00109,             0.00109
                 182,            0.021298,            0.039554,          0.00084207,             0.84548,             0.70187,             0.75777,             0.45772,            0.038112,            0.067234,           0.0055495,           0.0010405,           0.0010405,           0.0010405
                 183,            0.020375,            0.036152,          0.00084476,             0.85277,              0.6921,             0.76679,             0.46383,            0.038062,            0.066736,           0.0055178,            0.000991,            0.000991,            0.000991
                 184,            0.020792,            0.036683,          0.00083382,             0.80461,             0.71491,             0.76744,              0.4616,            0.038313,            0.066709,           0.0054597,           0.0009415,           0.0009415,           0.0009415
                 185,            0.020388,            0.035581,          0.00069091,             0.83594,             0.69437,             0.77274,             0.46509,            0.038243,            0.066411,           0.0055309,            0.000892,            0.000892,            0.000892
                 186,            0.020981,            0.036594,          0.00088606,              0.8072,              0.7116,              0.7684,              0.4627,            0.038251,            0.066832,           0.0057909,           0.0008425,           0.0008425,           0.0008425
                 187,            0.020708,            0.036144,          0.00073649,             0.80607,             0.72791,             0.76835,             0.46337,            0.038209,              0.0675,           0.0056772,            0.000793,            0.000793,            0.000793
                 188,            0.019778,            0.034925,          0.00074404,             0.83301,             0.70289,             0.76672,             0.46429,            0.038081,            0.067499,           0.0057989,           0.0007435,           0.0007435,           0.0007435
                 189,            0.020716,            0.035865,          0.00086041,             0.78491,              0.7397,             0.76993,             0.46446,            0.038114,            0.066892,            0.005794,            0.000694,            0.000694,            0.000694
                 190,            0.020929,            0.033269,          0.00064506,             0.78225,             0.74357,             0.76874,             0.46261,            0.038098,             0.06646,           0.0057585,           0.0006445,           0.0006445,           0.0006445
                 191,            0.020394,            0.035252,          0.00085956,             0.80274,             0.72851,              0.7727,             0.45983,            0.038117,            0.066526,           0.0056128,            0.000595,            0.000595,            0.000595
                 192,            0.020461,            0.037494,          0.00080365,             0.81169,              0.7264,             0.77538,             0.46368,            0.038091,            0.066691,           0.0055837,           0.0005455,           0.0005455,           0.0005455
                 193,            0.020958,            0.036136,          0.00083855,             0.82307,             0.71647,             0.77448,             0.46506,            0.038112,            0.067141,           0.0055879,            0.000496,            0.000496,            0.000496
                 194,            0.020644,            0.038187,          0.00067636,             0.80662,              0.7221,             0.77253,             0.46487,            0.038041,            0.067386,           0.0056051,           0.0004465,           0.0004465,           0.0004465
                 195,            0.020364,            0.035743,          0.00080562,             0.82927,             0.71213,               0.769,             0.46039,             0.03823,            0.067362,           0.0056755,            0.000397,            0.000397,            0.000397
                 196,            0.019855,            0.035552,          0.00075596,             0.83333,             0.70492,             0.76839,             0.46089,            0.038154,            0.067646,           0.0057324,           0.0003475,           0.0003475,           0.0003475
                 197,            0.020202,            0.036837,          0.00076173,             0.83169,             0.71037,             0.76889,              0.4633,            0.038143,            0.067941,           0.0056707,            0.000298,            0.000298,            0.000298
                 198,            0.020326,            0.036771,          0.00079593,             0.77566,             0.75317,             0.77033,             0.46204,            0.038196,            0.068021,           0.0057376,           0.0002485,           0.0002485,           0.0002485
                 199,            0.020347,            0.038465,          0.00071677,             0.83576,             0.71689,             0.77247,             0.46765,            0.038171,            0.067705,           0.0057483,            0.000199,            0.000199,            0.000199
